,Category,Resume,tokenized
  (0, 1425)	0.04994909148658599
  (0, 1414)	0.06231798157717838
  (0, 1400)	0.06539558749943053
  (0, 1380)	0.17704252692316763
  (0, 1378)	0.08614020289728441
  (0, 1374)	0.05048372215096046
  (0, 1363)	0.1255798531551627
  (0, 1359)	0.05430987182085425
  (0, 1349)	0.06451157642125048
  (0, 1347)	0.048867018741436945
  (0, 1344)	0.02206391303027087
  (0, 1337)	0.04345849500996969
  (0, 1331)	0.06784699727077284
  (0, 1329)	0.1318603120618234
  (0, 1327)	0.03612328095879339
  :	:
  (0, 215)	0.043902100061042906
  (0, 212)	0.07458979793716032
  (0, 211)	0.06431351475428149
  (0, 192)	0.057131303120433734
  (0, 183)	0.10996833587225709
  (0, 181)	0.06269486006346697
  (0, 159)	0.057080801835192645
  (0, 146)	0.06719292554462004
  (0, 145)	0.051746429531775495
  (0, 126)	0.04562585458339637
  (0, 117)	0.027509111594151838
  (0, 98)	0.0617028140005124
  (0, 83)	0.11989645479616497
  (0, 82)	0.07894377242360427
  (0, 81)	0.10490837418879029
  (0, 51)	0.057131303120433734
  (0, 47)	0.04904167945441679
  (0, 45)	0.03296509808447526
  (0, 44)	0.12409374866014725
  (0, 42)	0.10273873482684337
  (0, 35)	0.03756210030201844
  (0, 19)	0.044822206908428475
  (0, 15)	0.05380767534427165
  (0, 8)	0.0466254637104239
  (0, 6)	0.08905130785270751"
1,6,educ detail may may uit rgpv data scientist data scientist matelab skill detail python exprienc less year month statsmodel exprienc month aw exprienc less year month machin learn exprienc less year month sklearn exprienc less year month scipi exprienc less year month kera exprienc less year monthscompani detail compani matelab descript ml platform busi profession dummi enthusiast koramangala th block achiev task behind sukh sagar bengaluru india develop deploy auto preprocess step machin learn mainli miss valu treatment outlier detect encod scale featur select dimension reduct deploy autom classif regress model linkedin com aditya rathor reasearch deploy time seri forecast model arima sarimax holt winter prophet work meta featur extract problem github com rathorolog implement state art research paper outlier detect mix attribut compani matelab descript,"  (0, 1495)	0.17273040581960264
  (0, 1481)	0.04444426218557089
  (0, 1432)	0.14984841609141605
  (0, 1374)	0.07508093671174822
  (0, 1364)	0.13806913292959513
  (0, 1338)	0.09639085663882904
  (0, 1282)	0.08966245658632703
  (0, 1212)	0.14013211489017147
  (0, 1200)	0.11740759453907502
  (0, 1188)	0.2892666523840607
  (0, 1179)	0.15079259222963434
  (0, 1130)	0.10826234615189377
  (0, 1111)	0.13030270015208992
  (0, 1068)	0.09537633143812371
  (0, 1042)	0.11454506592491752
  (0, 1035)	0.08983308104627158
  (0, 992)	0.09194741110419449
  (0, 952)	0.13367711007199545
  (0, 863)	0.04439683484168753
  (0, 861)	0.13784551924162505
  (0, 854)	0.18528592089363868
  (0, 820)	0.16791500438731022
  (0, 788)	0.18733552365742026
  (0, 750)	0.22526490300344212
  (0, 746)	0.15755393487448044
  (0, 646)	0.07452161217355469
  (0, 635)	0.07185032249192053
  (0, 553)	0.158217644218904
  (0, 518)	0.13367711007199545
  (0, 486)	0.22153685862564323
  (0, 473)	0.11420299073323553
  (0, 469)	0.13078908634605985
  (0, 429)	0.15484323429899843
  (0, 350)	0.049539894661492404
  (0, 347)	0.24097341884876886
  (0, 343)	0.19607447778509546
  (0, 313)	0.10983025470752036
  (0, 234)	0.20475464335006452
  (0, 211)	0.1619478813240279
  (0, 162)	0.07195339245384008
  (0, 135)	0.1559326897010365
  (0, 125)	0.15176263940072796
  (0, 102)	0.12530788194450754
  (0, 98)	0.09176631348726938
  (0, 96)	0.12872890741678863
  (0, 89)	0.16467264903707998
  (0, 72)	0.14013211489017147
  (0, 4)	0.09176631348726938"
2,6,area interest deep learn control system design program python electr machineri web develop analyt technic activ hindustan aeronaut limit bangalor week guidanc mr satish senior engin hangar mirag fighter aircraft technic skill program matlab python java labview python webframework django flask ltspice intermedi languag mipow intermedi github gitbash jupyt notebook xampp mysql basic python softwar packag interpret anaconda python python pycharm java ide eclips oper system window ubuntu debian kali linux educ detail januari tech electr electron engin manip institut technolog januari deeksha center januari littl flower public school august manip academi higher data scienc data scienc electr enthusiast skill detail data analysi exprienc less year month excel exprienc less year month machin learn exprienc less year month mathemat exprienc less year month python exprienc less year month matlab exprienc less year month electr engin exprienc less year month sql exprienc less year monthscompani detail compani themathcompani descript current work casino base oper name disclos macau need segment custom visit properti base valu patron bring compani basic prove segment done much better way current system proper number back henceforth implement target market strategi attract custom add valu busi,"  (0, 1495)	0.15032447342486555
  (0, 1481)	0.03506570965618681
  (0, 1476)	0.060049825487155026
  (0, 1469)	0.1299237070319525
  (0, 1467)	0.06697848365756957
  (0, 1466)	0.10841188274476557
  (0, 1452)	0.09778419392177269
  (0, 1432)	0.2001768266207519
  (0, 1411)	0.1059382756984115
  (0, 1349)	0.04590918832170598
  (0, 1346)	0.08791229989687926
  (0, 1345)	0.08778567495742155
  (0, 1337)	0.0863405160749422
  (0, 1327)	0.08895382893026485
  (0, 1296)	0.09010407008668829
  (0, 1266)	0.06051154687792421
  (0, 1247)	0.05233625783101452
  (0, 1205)	0.08452306165990889
  (0, 1199)	0.2305336531325922
  (0, 1187)	0.11606103411584894
  (0, 1186)	0.06757157405093839
  (0, 1068)	0.2216802700971176
  (0, 1061)	0.10197254824814689
  (0, 1053)	0.11973794564667596
  (0, 1051)	0.10323292029478881
  :	:
  (0, 379)	0.08904985032739295
  (0, 374)	0.11350476343740382
  (0, 350)	0.0390860704435757
  (0, 345)	0.049123478383072974
  (0, 329)	0.12777391516213818
  (0, 313)	0.10740547552225416
  (0, 306)	0.09190126010413284
  (0, 305)	0.1499066705788511
  (0, 278)	0.06505127071959174
  (0, 187)	0.08452306165990889
  (0, 162)	0.05676991009613742
  (0, 153)	0.11229007170862823
  (0, 127)	0.12133458066551951
  (0, 119)	0.12430717181062663
  (0, 117)	0.09253610910678926
  (0, 114)	0.12777391516213818
  (0, 108)	0.09477047672213014
  (0, 93)	0.09383407033085625
  (0, 88)	0.13758969089804343
  (0, 68)	0.0767079115406364
  (0, 44)	0.08006042620032287
  (0, 42)	0.06628300769642714
  (0, 13)	0.12577781560934706
  (0, 9)	0.061266552518357865
  (0, 3)	0.11056167461457986"
3,6,skill python sap hana tableau sap hana sql sap hana pal ms sql sap lumira linear program data model advanc analyt scm analyt retail analyt social media analyt nlp educ detail januari januari pgdm busi analyt great lake institut manag illinoi institut technolog januari bachelor engin electron commun bengaluru karnataka new horizon colleg engin bangalor visvesvaraya technolog univers data scienc consult consult deloitt usi skill detail linear program exprienc month retail exprienc month retail market exprienc month scm exprienc month sql exprienc less year month deep learn exprienc less year month machin learn exprienc less year month python exprienc less year month exprienc less year monthscompani detail compani deloitt usi descript project involv analys histor deal come insight optim futur deal role given raw data carri end end analysi present insight client key respons extract data client system across geographi understand build report tableau infer meaning insight optim price find process blockad technic environ tableau industri cross industri servic area cross industri product project name handwrit recognit consult month project involv take handwritten imag convert digit text imag object detect sentenc creation role develop sentenc correct function key respons gather data larg enough captur english word train lstm model word technic environ python industri financ servic area financi servic bi develop project name swift consult month project develop analyt infrastructur top sap would user view financi report respect depart report also includ forecast expens role lead offshor team key respons design develop data model report develop etl data flow valid variou report technic environ sap hana tableau sap ao industri healthcar analyt servic area life scienc product develop project name clinic healthcar system consult month project develop analyt infrastructur top argu would allow user queri faster provid advanc analyt capabl role involv design deploy phase perform lot data restructur built model insight key respons design develop data model report develop deploy analyt model valid variou report technic environ data model sap hana tableau nlp industri fmcg servic area trade promot project name consumpt base plan flower food consult month project involv set crm cbp modul role involv key data decomposit activ set base futur year forecast cours project develop variou model carri key perform improv key respons design develop hana model decomposit develop data flow forecast develop variou view report custom sale fund valid variou report bobj technic environ data model sap hana bobj time seri forecast intern initi industri fmcg custom segment rfm analysi consult month initi involv set hana python interfac advanc analyt python cours su ess segment data five core segment use mean carri rfm analysi python also develop algorithm categor new custom defin bucket technic environ anaconda python hana sp industri telecom invoic state detect consult month initi reduc manual effort verifi close open invoic manual involv develop decis tree classifi open close invoic enabl effort reduct technic environ sap pal sap hana sp entur experi industri analyt cross industri process analyt sap senior develop month entur solut pvt ltd india project involv develop sap analyt tool process analyt ipa role develop databas object data model provid oper insight client role develop variou financ relat kpi spearhead variou deploy introduc sap predict analyt reduc develop time reus function kpi prepar product plan report key respons involv inform gather phase design implement sap hana data model use attribut view analyt view calcul view develop variou kpi individu use complex sql script calcul view creat procedur hana databas took ownership develop dashboard function involv build data process algorithm execut server cluster analysi technic environ sap hana sql industri cross industri entur test eler sap databas develop month entur solut pvt ltd india role taken care develop activ ata tool also complet variou deploy product apart activ also activ involv mainten databas server product qualiti key respons analyz busi requir understand scope get requir clarifi interact busi transform requir gener attribut map document review map specif document creat updat databas object like tabl view store procedur function packag monitor sql server error log applic log sql server agent prepar data flow diagram entiti relationship diagram use uml respons design develop normal databas tabl experi perform tune use sql profil involv qa uat knowledg transfer support activ technic environ sql server visual studio window server perform monitor sql server profil pl sql sql,"  (0, 1495)	0.060220101707952216
  (0, 1487)	0.09410322763352855
  (0, 1480)	0.06997545885980404
  (0, 1476)	0.02653490330159267
  (0, 1454)	0.04106317573108563
  (0, 1447)	0.12869763825109096
  (0, 1435)	0.08221029082952709
  (0, 1431)	0.08072823530479704
  (0, 1428)	0.0468646408711799
  (0, 1427)	0.05765811058927235
  (0, 1421)	0.03764424510644698
  (0, 1418)	0.01862296356478195
  (0, 1414)	0.054709040233595685
  (0, 1410)	0.044016059260119034
  (0, 1406)	0.049618898478809244
  (0, 1400)	0.05741087463134687
  (0, 1394)	0.038900579312883043
  (0, 1393)	0.050433037382142915
  (0, 1390)	0.03062349816682265
  (0, 1388)	0.04660470243419711
  (0, 1379)	0.08072707316810367
  (0, 1378)	0.04157903019895682
  (0, 1374)	0.04431972789231045
  (0, 1363)	0.0461999678541706
  (0, 1361)	0.025413771146051242
  :	:
  (0, 175)	0.049884355995461864
  (0, 170)	0.04660470243419711
  (0, 167)	0.07342546411625203
  (0, 162)	0.05264488456493066
  (0, 161)	0.05071680387438395
  (0, 159)	0.05011131306138256
  (0, 129)	0.04837103890283266
  (0, 125)	0.05290997573249456
  (0, 117)	0.04088998905716242
  (0, 114)	0.05646092150623288
  (0, 107)	0.029700712221749057
  (0, 89)	0.09720506051554544
  (0, 68)	0.08088536198694612
  (0, 58)	0.022823130512824974
  (0, 45)	0.028940104152353433
  (0, 44)	0.13560841775461796
  (0, 42)	0.06989272636198492
  (0, 41)	0.052242607866185675
  (0, 35)	0.07869001000431314
  (0, 33)	0.04767870985758379
  (0, 31)	0.0769167310278151
  (0, 23)	0.049884355995461864
  (0, 19)	0.0825792939088858
  (0, 9)	0.07064414460087277
  (0, 6)	0.037252361437294296"
4,6,educ detail mca ymcaust faridabad haryana data scienc internship skill detail data structur exprienc less year month exprienc less year month data analysi exprienc less year month python exprienc less year month core java exprienc less year month databas manag exprienc less year monthscompani detail compani itechpow descript,"  (0, 1495)	0.37410537366072966
  (0, 1301)	0.23897127969332607
  (0, 1187)	0.1881698096471449
  (0, 1068)	0.20656929474428157
  (0, 863)	0.09615617128318181
  (0, 861)	0.2790530520350906
  (0, 800)	0.11373020818086862
  (0, 750)	0.4878863701551431
  (0, 699)	0.1730616696597415
  (0, 678)	0.3206135996260567
  (0, 469)	0.26844490170453755
  (0, 314)	0.1459921012270699
  (0, 313)	0.29483880594736717
  (0, 281)	0.20153927660193374
  (0, 42)	0.18195350608326769"
5,6,skill basic iot python matlab data scienc machin learn html microsoft word microsoft excel microsoft powerpoint recognit academ secur first place tech educ detail august may tech ghatkesar andhra pradesh aurora scientif technolog institut june may secondari educ warang telangana sr junior colleg data scienc skill detail ms offic exprienc less year month exprienc less year month machin learn exprienc less year month data scienc exprienc less year month matlab exprienc less year monthscompani detail compani descript,"  (0, 1495)	0.19635699676162188
  (0, 1480)	0.14417400721839893
  (0, 1350)	0.18457525990408707
  (0, 1349)	0.07076871346589532
  (0, 1345)	0.22911844355055927
  (0, 1268)	0.15847546432867957
  (0, 1198)	0.10547459735680274
  (0, 1196)	0.14707798291450355
  (0, 1187)	0.22175101771337027
  (0, 1097)	0.17218786546628262
  (0, 1068)	0.11599766077740997
  (0, 1017)	0.15533105166648634
  (0, 1014)	0.1655502420036805
  (0, 988)	0.15656140165620336
  (0, 915)	0.09624893978986454
  (0, 868)	0.10027610825719137
  (0, 863)	0.05399588042341334
  (0, 861)	0.14330036228531845
  (0, 843)	0.2685835428437058
  (0, 820)	0.20421992987844045
  (0, 814)	0.30303145792223496
  (0, 788)	0.2278393622097926
  (0, 750)	0.2560773224590789
  (0, 746)	0.19161869214452623
  (0, 717)	0.15913287129790935
  (0, 716)	0.11030875104212925
  (0, 664)	0.10528448967459539
  (0, 618)	0.10199871076506681
  (0, 505)	0.17130001297888275
  (0, 469)	0.140898897492113
  (0, 454)	0.10843177650293298
  (0, 313)	0.1655648378847267
  (0, 231)	0.08220231198008966
  (0, 119)	0.11317308639474301
  (0, 93)	0.14464460556457678
  (0, 2)	0.18003850773701302"
6,6,skill python tableau data visual studio machin learn statist iabac certifi data scientist versatil experi year manag busi data scienc consult lead innov project bring busi idea work real world solut strong advoc augment era human capabl enhanc machin fahe passion bring busi concept area machin learn ai robot etc real life solut educ detail januari tech comput scienc engin mohali punjab indo global colleg engin data scienc consult data scienc consult datamit skill detail machin learn exprienc month python exprienc month solut exprienc month data scienc exprienc month data visual exprienc month tableau exprienc monthscompani detail compani datamit descript analyz process complex data set use advanc queri visual analyt tool respons load extract valid client data work manipul clean process data use python use tableau data visual compani heret solut pvt ltd descript work close busi identifi issu use data propos solut effect decis make manipul cleans process data use python excel analyz raw data draw conclus develop recommend use machin learn tool statist techniqu produc solut problem,"  (0, 1495)	0.0495662050109291
  (0, 1485)	0.1000152615941067
  (0, 1481)	0.07472101899085391
  (0, 1454)	0.2251638835916032
  (0, 1431)	0.08839250249974893
  (0, 1427)	0.14174691602624773
  (0, 1378)	0.0955424860390102
  (0, 1347)	0.09857884923728615
  (0, 1345)	0.08913568254177877
  (0, 1329)	0.2660002217835678
  (0, 1304)	0.09823083159251081
  (0, 1300)	0.09405698722993715
  (0, 1286)	0.21150797887927641
  (0, 1250)	0.1689352287814554
  (0, 1218)	0.07410019843259363
  (0, 1188)	0.13686693167321734
  (0, 1187)	0.1816212388790543
  (0, 1155)	0.11859098065160167
  (0, 1138)	0.04805234079782966
  (0, 1098)	0.1023162320900874
  (0, 1093)	0.18549892155318254
  (0, 1089)	0.1297388798860019
  (0, 1077)	0.07640741149098522
  (0, 1068)	0.18233057518870519
  (0, 1067)	0.05682785611345622
  :	:
  (0, 454)	0.07142377967307774
  (0, 445)	0.06695573757219891
  (0, 425)	0.08091345140339812
  (0, 423)	0.0754489352452031
  (0, 404)	0.07561730240059389
  (0, 386)	0.08989886084072188
  (0, 350)	0.03968715361081387
  (0, 326)	0.10076170157317815
  (0, 313)	0.18910850000933535
  (0, 268)	0.1714039953272856
  (0, 255)	0.10152831802985615
  (0, 254)	0.05572470831883897
  (0, 250)	0.1003860261181182
  (0, 231)	0.054146487393616695
  (0, 217)	0.09559050027111672
  (0, 215)	0.05230683989424187
  (0, 191)	0.11525029072959003
  (0, 170)	0.1070907404613592
  (0, 162)	0.13755303055872484
  (0, 153)	0.1930474248143259
  (0, 68)	0.07788756029779739
  (0, 45)	0.11259444993234122
  (0, 44)	0.0812916314354564
  (0, 21)	0.13192173222189393
  (0, 19)	0.0904192989690553"
7,6,educ detail tech rayat bahra institut engin biotechnolog data scienc data scienc skill detail numpi exprienc less year month machin learn exprienc less year month tensorflow exprienc less year month scikit exprienc less year month python exprienc less year month gcp exprienc less year month panda exprienc less year month neural network exprienc less year monthscompani detail compani wipro descript bhawana aggarw mail bhawana chd gmail com phone vversatil high energi profession target challeng assign machin profil summari profession knowledg experi year wipro technolog machin learn deep learn data scienc python softwar develop skill manag end end develop softwar product project incept requir spec plan design implement configur document knowledg python machin learn deep learn data scienc algorithm neural network nlp gcp knowledg python librari like numpi panda seaborn matplotlib cufflink knowledg differ algorithm machin learn like knn decis tree bia varianc trade support vector machin svm logist regress neural network knowledg unsupervis supervis reinforc data program experi relat platform like mysql oracl knowledg program languag like java experi cloud base environ like googl cloud work differ oper system like linux ubuntu window good interperson commun skill problem solv skill abil think later think medium term long term perspect flexibl open attitud chang abil creat defin framework strong emphasi code reusabl technic skill program languag python librari seaborn numpi panda cufflink matplotlib algorithm knn decis tree linear regress logist regress neural network mean cluster tensorflow svm databas sql oracl oper system linux window develop environ netbean notebook sublim ticket tool servic remedi educ ug educ tech comput scienc rayat bahra institut engin biotechnolog pass school xii moti ram arya sr secondari school pass valley public school pass cgpa work experinc titl wipro neural intellig platform team size brief wipro neural intellig platform har power autom artifici intellig technolog natur languag process nlp cognit machin learn analyt platform compris three layer data engag platform easili ess manag multipl structur unstructur data sourc intent assess reason engin includ sentiment predict analyt deep machin learn engin sens act learn time project entail autom respons user queri earliest monster bot use power deep machin learn nlp handl queri user see queri answer quickli like alll activ elimin entiti extractor involv text extract nlp fetch import inform text like date name place contact number etc involv regex bluemix nlu api machin learn use tensor flow learn new entiti classifi involv classif class train dataset predict output use sklearn classifi mnb svm sgd classifi sgd optim map user queri best suit respons make system effici ner deep learn ner model train extract entiti text entiti like role skill organ extract raw text rnn lstm bidirect model train extract entiti use kera tensorflow framework project titl diabet detect brief develop softwar detect whether person suffer diabet got third prize train certif titl python train machin learn data scienc deep learn organ udemi coursera machin learn deep learn person profil father name mr tirlok aggarw languag known english hindi marit statu singl date birth gender yyyi mm dd compani wipro descript develop program python compani wipro descript titl wipro neural intellig platform team size brief wipro neural intellig platform har power autom artifici intellig technolog natur languag process nlp cognit machin learn analyt platform compris three layer data engag platform easili ess manag multipl structur unstructur data sourc intent assess reason engin includ sentiment predict analyt deep machin learn engin sens act learn time project entail autom respons user queri earliest monster bot use power deep machin learn nlp handl queri user see queri answer quickli like alll activ elimin entiti extractor involv text extract nlp fetch import inform text like date name place contact number etc involv regex bluemix nlu api machin learn use tensor flow learn new entiti classifi involv classif class train dataset predict output use sklearn classifi mnb svm sgd classifi sgd optim map user queri best suit respons make system effici ner deep learn ner model train extract entiti text entiti like role skill organ extract raw text rnn lstm bidirect model train extract entiti use kera tensorflow framework compani wipro technolog descript profession knowledg experi year wipro technolog machin learn deep learn data scienc python softwar develop skill manag end end develop softwar product project incept requir spec plan design implement configur document knowledg python machin learn deep learn data scienc algorithm neural network nlp gcp knowledg python librari like numpi panda seaborn matplotlib cufflink knowledg differ algorithm machin learn like knn decis tree bia varianc trade support vector machin svm logist regress neural network knowledg unsupervis supervis reinforc data program experi relat platform like mysql oracl knowledg program languag like java experi cloud base environ like googl cloud work differ oper system like linux ubuntu window good interperson commun skill problem solv skill abil think later think medium term long term perspect flexibl open attitud chang abil creat defin framework strong emphasi code reusabl,"  (0, 1495)	0.06425733336489335
  (0, 1481)	0.0293309277018919
  (0, 1477)	0.15761471978350536
  (0, 1476)	0.05022904447519749
  (0, 1434)	0.0876786936614232
  (0, 1428)	0.06970015999924632
  (0, 1427)	0.061374871882074335
  (0, 1411)	0.07149218440708487
  (0, 1400)	0.10867548083526744
  (0, 1390)	0.08506128887471151
  (0, 1388)	0.07117535578666533
  (0, 1378)	0.022150566580217433
  (0, 1376)	0.09584105085796726
  (0, 1374)	0.03997627103381179
  (0, 1371)	0.03580676155954266
  (0, 1368)	0.07745541483112343
  (0, 1367)	0.09859873416586099
  (0, 1363)	0.1283272338854987
  (0, 1359)	0.10262512659624955
  (0, 1349)	0.047748258644038484
  (0, 1346)	0.020695021666622057
  (0, 1345)	0.05924194651065574
  (0, 1344)	0.029582042849148643
  (0, 1337)	0.03441324255063972
  (0, 1327)	0.04408495057559522
  :	:
  (0, 234)	0.03802917766763473
  (0, 225)	0.04944635667777584
  (0, 221)	0.04131876426158442
  (0, 218)	0.09859873416586099
  (0, 212)	0.16489532447065486
  (0, 211)	0.08622791191346314
  (0, 209)	0.07618408874466699
  (0, 194)	0.04764967790090839
  (0, 193)	0.04016313008969646
  (0, 190)	0.033258926200981684
  (0, 152)	0.10867548083526744
  (0, 146)	0.09008846254485994
  (0, 126)	0.06117255735477701
  (0, 117)	0.036882656163652446
  (0, 98)	0.06886288082232525
  (0, 87)	0.07055723945445128
  (0, 80)	0.03925990901250455
  (0, 78)	0.07659841001991215
  (0, 55)	0.06353199013575771
  (0, 51)	0.07659841001991215
  (0, 44)	0.07614701229295485
  (0, 31)	0.10692475656133726
  (0, 9)	0.041345582054763116
  (0, 7)	0.0757786782987861
  (0, 0)	0.0766873990016289"
8,6,person skill abil quickli grasp technic aspect willing learn high energi level result orient educ detail januari master engin comput technolog applic bhopal madhya pradesh truba institut engin inform technolog januari comput scienc bhopal madhya pradesh rkdf institut scienc technolog colleg engin januari polytechn inform technolog vidisha madhya pradesh sati engin colleg vidisha januari tech thesi detail bmch school ganj basoda data scienc six month experi data scienc key skill experi machin learn deep lean nlp python sql web scrape good knowledg comput subject abil updat skill detail experi machin learn deep learn nlp python sql web crawl html css exprienc less year monthscompani detail compani rnt ai technolog solut descript text classif use machin learn algorithm python practic knowledg deep learn algorithm recurr neural network rnn develop custom data model algorithm appli dataset experi python packag like panda scikit learn tensor flow numpi matplotliv nltk comfort sql mysql sentiment analysi appli leav dataset use classif techniqu like tf idf lsa cosin similar use machin learn algorithm web crawl use selenium web driver beauti soup python compani life insur corpor india bhopal descript explain polici featur benefit updat knowledg life insur product share custom,"  (0, 1495)	0.041521995379768147
  (0, 1467)	0.13595018874931844
  (0, 1427)	0.1014967609345705
  (0, 1421)	0.1226896798617089
  (0, 1363)	0.0889316607004009
  (0, 1349)	0.1018983310862011
  (0, 1347)	0.08258026858564071
  (0, 1346)	0.04416471363578927
  (0, 1345)	0.07466965441183455
  (0, 1307)	0.10251728917810143
  (0, 1266)	0.10801671250514955
  (0, 1250)	0.05069145691188464
  (0, 1235)	0.10698540540675534
  (0, 1221)	0.07552596238432309
  (0, 1208)	0.11249300585010079
  (0, 1201)	0.09654606476601972
  (0, 1187)	0.13913494727085685
  (0, 1186)	0.05747573376743397
  (0, 1141)	0.07246250135273759
  (0, 1080)	0.10251728917810143
  (0, 1068)	0.1670225084537903
  (0, 1041)	0.0507682258785685
  (0, 1017)	0.1798743745861291
  (0, 1016)	0.09221410922242505
  (0, 1005)	0.0780535580621408
  :	:
  (0, 512)	0.0761890744788266
  (0, 486)	0.08780893336042708
  (0, 469)	0.029794728312046624
  (0, 460)	0.13007179875500652
  (0, 423)	0.08907892461333093
  (0, 420)	0.09011008275806713
  (0, 389)	0.10119695093066718
  (0, 350)	0.03324623719933795
  (0, 329)	0.22808404299380394
  (0, 313)	0.09135806887713009
  (0, 306)	0.07817033172343994
  (0, 303)	0.06716061625954795
  (0, 293)	0.18401676975348438
  (0, 282)	0.07152324963118564
  (0, 254)	0.09796536534906973
  (0, 231)	0.07679935045243251
  (0, 211)	0.18401676975348438
  (0, 128)	0.2728580817609545
  (0, 124)	0.10119695093066718
  (0, 76)	0.10320603231556352
  (0, 58)	0.043932907167689536
  (0, 57)	0.13298565783068908
  (0, 42)	0.05637969156664506
  (0, 31)	0.20867232292243426
  (0, 0)	0.11611925431603325"
9,6,expertis data quantit analysi decis analyt predict model data driven person kpi dashboard big data queri interpret data mine visual tool machin learn algorithm busi intellig bi research report forecast educ detail pgp data scienc mumbai maharashtra aegi school data scienc busi electron commun electron commun indor madhya pradesh ip academi data scientist data scientist pr canada skill detail algorithm exprienc month bi exprienc month busi intellig exprienc month machin learn exprienc month visual exprienc month spark exprienc month python exprienc month tableau exprienc month data analysi exprienc monthscompani detail compani aegi school data scienc busi descript mostli work industri project provid solut along teach appoint teach undergradu graduat level cours spark machin learn adjunct faculti member aegi school data scienc mumbai present compani aegi school data busi descript data scienc intern nov jan furnish execut leadership team insight analyt report recommend enabl effect strateg plan across busi unit distribut channel product line chat bot use aw lex tensor flow python goal project creat chat bot academ institut univers handl queri relat cours offer institut object task reduc human effort well reduc man made error even compani handl client case compani academ institut client particip student web scrape use selenium web driver python task scrap data onlin messag portal text format find pattern form data visual data insight hadoop eco system hive pyspark qliksens goal project build busi solut internet servic provid compani like handl data gener per day basi visual data find usag pattern form gener report imag base fraud detect microsoft face api pyspark open cv main goal project recogn similar face given databas imag face recognit recogn special face set differ face face extract compar databas imag imag recogn person alreadi appli loan somewher els hide ident go prevent fraud initi stage churn analysi internet servic provid python machin learn hadoop object identifi custom like churn given period time pretend custom give incent offer sentiment analysi python nlp apach spark servic ibm bluemix project highli emphasi tweet twitter data taken mobil network servic provid sentiment analysi analyz whether express opinion posit neg neutral captur emot tweet compar analysi quantifi result mentor data scienc enthusiast year sinc gone graduat school data scienc busi analyt review evalu research paper data scienc one largest data scienc confer call data scienc congress aegi school busi mumbai head solut provid organ call data scienc deliv aegi school data scienc mumbai manag live project use data scienc techniqu work social caus help data scienc social good committe team develop product call let find miss child help societi compani ibm india pvt ltd descript mostli work blumix ibm watson data scienc,"  (0, 1495)	0.027538268451498774
  (0, 1481)	0.041513920210069805
  (0, 1471)	0.03771847456257196
  (0, 1467)	0.06397479827090677
  (0, 1454)	0.12509780546161203
  (0, 1427)	0.059199602809911586
  (0, 1426)	0.05619326934014094
  (0, 1418)	0.023775077212684424
  (0, 1417)	0.04013661426936992
  (0, 1378)	0.03135110020947862
